stock_code,stock_name,n_buy_ops,n_days,avg_daily_ops,avg_amount_wan,total_buy_wan,avg_order_count,avg_time_span_min,avg_vwap_deviation_pct,avg_fwd_5d,win_5d,avg_universe_excess_fwd_5d,universe_excess_win_5d,stability,score,avg_fwd_10d,win_10d,avg_fwd_20d,win_20d,avg_amount_yuan,candidate_group,is_production_candidate
000753,漳州发展,1992,218,9.1,601.6,1198399.2,16.4,25.8,0.02,-0.01,0.466,-1.15,0.418,-0.129,0.4708850280488995,1.04,0.482,3.0,0.516,742649831.4,D_invalid,False
000700,模塑科技,1682,177,9.5,793.5,1334688.1,20.2,24.4,-0.11,0.98,0.487,-0.74,0.406,-0.096,0.4705676893393284,1.06,0.52,-0.93,0.524,594933125.2,C_beta_only,False
000036,华联控股,620,115,5.4,904.6,560844.8,18.6,21.2,0.1,2.61,0.419,0.23,0.373,0.02,0.459466482832276,1.78,0.419,1.23,0.425,351412703.8333333,B_positive_but_weak,False
000783,长江证券,2759,226,12.2,716.1,1975710.8,19.1,31.6,-0.08,0.49,0.575,-0.99,0.382,-0.291,0.4567727429087209,1.11,0.628,1.95,0.685,737788785.2166667,C_beta_only,False
000534,万泽股份,979,167,5.9,574.4,562377.2,16.4,21.2,-0.0,1.49,0.495,-0.41,0.39,-0.056,0.4524147926834004,1.34,0.452,3.11,0.556,435208918.71666664,C_beta_only,False
000555,神州信息,2214,217,10.2,1249.8,2767068.2,30.1,25.8,-0.04,0.23,0.416,-0.75,0.354,-0.076,0.4467068037287158,0.16,0.448,-0.22,0.452,1293141901.3833334,C_beta_only,False
000651,格力电器,4174,231,18.1,2768.0,11553704.9,70.1,36.2,0.01,-0.09,0.511,-1.42,0.343,-0.362,0.4459898699137213,-0.05,0.55,0.1,0.527,1583524927.05,D_invalid,False
000158,常山北明,3771,222,17.0,3253.9,12270604.8,80.2,32.5,-0.09,-0.14,0.403,-1.18,0.321,-0.176,0.4424441342811994,0.38,0.419,1.34,0.472,1631141105.45,D_invalid,False
000768,中航西飞,3062,234,13.1,904.8,2770405.7,27.2,32.0,-0.02,-0.15,0.479,-1.43,0.384,-0.407,0.4399272211416472,-0.21,0.434,-0.35,0.492,525550956.03333336,D_invalid,False
000422,湖北宜化,2452,220,11.1,823.4,2019063.1,22.3,26.7,-0.14,-0.2,0.502,-1.14,0.369,-0.196,0.4398642050050471,-0.9,0.413,-1.07,0.42,683280252.7333333,D_invalid,False
000536,华映科技,2113,218,9.7,989.8,2091479.6,23.5,28.3,-0.12,-0.08,0.479,-1.47,0.398,-0.208,0.4387997556859826,0.21,0.508,-1.27,0.458,1011790762.0833334,D_invalid,False
000100,TCL科技,6571,225,29.2,1437.0,9442774.7,31.4,37.4,-0.02,-0.42,0.436,-1.84,0.28,-0.528,0.4378549810900835,-0.43,0.474,-0.94,0.419,1586661033.6,D_invalid,False
000060,中金岭南,2103,230,9.1,515.7,1084570.9,14.5,30.8,-0.05,0.28,0.563,-1.27,0.402,-0.337,0.4374104383451318,0.66,0.545,1.06,0.573,771108372.9666667,C_beta_only,False
000032,深桑达Ａ,2548,225,11.3,1586.0,4041038.6,39.5,29.1,0.01,0.18,0.409,-0.89,0.336,-0.098,0.4351100593938132,0.35,0.4,-2.38,0.283,352374598.95,C_beta_only,False
000681,视觉中国,3267,222,14.7,1937.0,6328216.8,50.4,30.1,0.01,0.04,0.432,-1.28,0.332,-0.173,0.4320868963563796,0.33,0.453,-0.11,0.469,1477152723.6333334,C_beta_only,False
000661,长春高新,3176,233,13.6,1050.7,3336931.6,28.9,28.5,-0.06,-0.02,0.412,-1.15,0.332,-0.199,0.4318710170095729,-0.23,0.457,-0.03,0.469,710054092.8166667,D_invalid,False
000725,京东方Ａ,6448,224,28.8,3107.3,20035798.6,48.6,40.0,-0.01,-0.22,0.461,-1.51,0.262,-0.54,0.431213324530164,-0.16,0.494,-0.66,0.43,2306809990.733333,D_invalid,False
000564,供销大集,5692,225,25.3,1314.3,7480915.1,28.8,31.0,-0.06,-0.44,0.406,-1.78,0.277,-0.307,0.4311441654897491,-1.03,0.387,-1.47,0.375,1247093589.233333,D_invalid,False
000801,四川九洲,2273,222,10.2,932.7,2119951.6,24.0,27.5,-0.08,0.25,0.465,-1.24,0.359,-0.222,0.4199813761711406,0.83,0.567,0.46,0.47,490597137.65,C_beta_only,False
000039,中集集团,1905,215,8.9,594.8,1133047.0,15.2,29.2,-0.08,0.13,0.55,-0.79,0.346,-0.19,0.4185167965713616,0.14,0.554,0.75,0.611,547556808.8666667,C_beta_only,False
000830,鲁西化工,1395,219,6.4,478.5,667499.4,14.8,26.7,-0.06,0.21,0.488,-0.82,0.361,-0.174,0.4151114313569151,0.06,0.498,1.51,0.465,481652680.1333333,C_beta_only,False
000799,酒鬼酒,2318,226,10.3,883.7,2048434.2,26.4,26.0,-0.11,0.55,0.453,-0.72,0.312,-0.11,0.4141378509539845,1.35,0.494,1.4,0.392,684118985.9166666,C_beta_only,False
000543,皖能电力,1619,227,7.1,345.5,559424.9,10.3,29.3,-0.09,-0.06,0.387,-1.19,0.374,-0.275,0.4087725637256333,0.52,0.431,0.97,0.516,379323828.15,D_invalid,False
000683,博源化工,1527,221,6.9,463.2,707271.5,12.9,26.9,-0.04,0.42,0.466,-0.79,0.346,-0.191,0.4067116617111931,1.82,0.58,3.14,0.668,341908576.55,C_beta_only,False
000875,电投绿能,1402,218,6.4,448.8,629168.8,13.7,31.8,-0.03,0.19,0.515,-0.88,0.359,-0.24,0.4052419388131651,0.15,0.505,0.72,0.464,351197715.51666665,C_beta_only,False
000758,中色股份,1210,184,6.6,624.5,755689.8,17.1,26.8,-0.11,-0.12,0.474,-1.07,0.362,-0.22,0.3962215055362059,-0.29,0.383,0.12,0.504,379300133.1166667,D_invalid,False
000538,云南白药,2300,229,10.0,549.5,1263933.8,17.0,33.0,-0.06,0.05,0.486,-0.97,0.323,-0.29,0.3959651040767964,0.0,0.493,0.29,0.472,420918029.9166667,C_beta_only,False
000858,五 粮 液,3699,228,16.2,4396.4,16262387.7,105.2,34.2,-0.01,-0.27,0.432,-1.63,0.32,-0.462,0.3953217876533768,-0.31,0.458,-0.7,0.418,2040305742.5833333,D_invalid,False
000632,ST三木,571,70,8.2,871.6,497663.2,19.7,17.9,0.34,0.1,0.49,-2.11,0.414,-0.101,0.3891145940559254,-1.48,0.372,-1.52,0.409,528886315.55,C_beta_only,False
000566,海南海药,1697,186,9.1,1282.1,2175692.4,29.9,23.6,0.01,-0.07,0.454,-1.73,0.344,-0.166,0.3763387705131052,1.14,0.482,1.82,0.464,1081624651.4666667,D_invalid,False
000636,风华高科,1501,177,8.5,659.9,990470.7,16.8,26.4,-0.08,0.3,0.492,-1.43,0.349,-0.311,0.372366702918216,0.34,0.488,-0.21,0.488,688207047.3166667,C_beta_only,False
000596,古井贡酒,2260,231,9.8,539.9,1220221.4,17.3,26.4,-0.06,-0.35,0.438,-1.66,0.336,-0.356,0.3723323459126667,-0.46,0.44,-0.06,0.468,436163703.56666666,D_invalid,False
000823,超声电子,1286,196,6.6,481.2,618798.6,14.4,27.9,-0.09,-0.21,0.525,-1.84,0.368,-0.311,0.3651259665379508,0.53,0.541,1.19,0.531,335638366.25,D_invalid,False
000723,美锦能源,1881,226,8.3,607.9,1143430.1,15.9,27.4,-0.1,-0.52,0.443,-1.6,0.337,-0.371,0.3623156298860875,-0.55,0.44,-1.71,0.429,643790315.8333334,D_invalid,False
000625,长安汽车,4522,227,19.9,1006.0,4549162.0,25.9,35.1,-0.05,-0.21,0.481,-1.38,0.238,-0.49,0.3619288973148001,-0.26,0.432,-0.69,0.424,1108205493.1,D_invalid,False
000680,山推股份,1086,187,5.8,497.2,539959.1,14.8,24.0,-0.05,-0.0,0.445,-1.43,0.34,-0.266,0.3564676087950676,0.05,0.425,-2.03,0.364,337921196.95,D_invalid,False
000155,川能动力,1584,204,7.8,561.2,889018.2,16.8,28.6,-0.07,-0.14,0.444,-1.66,0.339,-0.33,0.3562255838067362,-0.19,0.516,-0.0,0.434,607397062.8833333,D_invalid,False
000629,钒钛股份,1963,232,8.5,410.1,805079.9,11.1,30.1,-0.04,-0.21,0.458,-1.21,0.309,-0.409,0.3538784532973052,-0.18,0.483,0.09,0.555,412670085.43333334,D_invalid,False
000049,德赛电池,891,164,5.4,470.6,419279.6,15.3,28.1,-0.04,0.0,0.426,-1.32,0.339,-0.31,0.3497723327475487,0.18,0.53,0.33,0.595,345336459.6,D_invalid,False
000002,万 科Ａ,4782,232,20.6,1084.0,5183622.9,25.5,32.2,-0.05,-0.81,0.399,-2.12,0.247,-0.483,0.3492495665514424,-1.67,0.306,-3.66,0.245,944228772.6833332,D_invalid,False
000728,国元证券,1982,231,8.6,413.5,819469.6,11.9,27.7,-0.03,-0.24,0.483,-1.37,0.32,-0.523,0.346490445737224,-0.08,0.454,-0.16,0.491,371588027.85,D_invalid,False
000065,北方国际,1661,203,8.2,621.5,1032235.8,16.9,26.1,-0.07,-0.28,0.442,-1.49,0.311,-0.295,0.3459325517449194,-0.66,0.425,-1.01,0.408,364563470.7,D_invalid,False
000685,中山公用,858,123,7.0,775.0,664963.4,21.6,28.8,-0.09,0.72,0.403,-1.51,0.327,-0.181,0.3437818803876546,-0.46,0.439,-0.83,0.364,499318687.96666664,C_beta_only,False
000628,高新发展,2224,227,9.8,786.0,1748075.4,22.6,27.6,-0.1,-0.46,0.436,-1.83,0.305,-0.331,0.3420396428650726,-0.72,0.434,-2.87,0.317,351878380.25,D_invalid,False
000560,我爱我家,2701,235,11.5,579.5,1565115.3,13.7,28.7,-0.06,-0.44,0.419,-1.62,0.269,-0.322,0.336827803512428,-0.58,0.4,-1.99,0.328,406561335.05,D_invalid,False
000825,太钢不锈,894,153,5.8,448.4,400842.3,12.3,26.8,-0.09,1.11,0.595,-2.34,0.348,-0.352,0.3137275654720314,2.39,0.575,1.96,0.543,398881564.75,C_beta_only,False
000759,中百集团,2012,203,9.9,841.1,1692200.7,22.3,25.2,-0.07,-1.51,0.372,-2.69,0.316,-0.318,0.3122621041076012,-2.71,0.343,-4.15,0.354,633271366.5333333,D_invalid,False
000410,沈阳机床,767,131,5.9,476.5,365505.9,13.4,25.1,-0.03,-0.94,0.461,-1.35,0.281,-0.299,0.2991471340398301,-1.7,0.466,-4.85,0.234,335579701.01666665,D_invalid,False
000786,北新建材,1852,227,8.2,492.0,911094.2,16.5,28.1,-0.04,-0.42,0.431,-1.57,0.27,-0.479,0.2986156168700254,-0.76,0.409,-1.55,0.343,412477991.4166667,D_invalid,False
000533,顺钠股份,1695,194,8.7,858.6,1455398.8,20.8,24.5,-0.02,-2.14,0.388,-3.0,0.312,-0.321,0.2869509885961504,-3.49,0.353,-2.75,0.375,571652119.0,D_invalid,False
000009,中国宝安,1284,164,7.8,771.9,991156.0,20.6,26.1,-0.07,-0.17,0.487,-1.68,0.257,-0.294,0.2835632356819311,-0.91,0.444,-0.74,0.408,465496432.55,D_invalid,False
000417,合百集团,958,145,6.6,669.0,640903.0,15.8,21.8,-0.02,-1.15,0.395,-3.17,0.324,-0.394,0.260381347694461,-0.68,0.391,1.24,0.474,507477040.78333336,D_invalid,False
000816,智慧农业,784,156,5.0,500.3,392251.1,11.9,20.4,-0.01,-1.46,0.394,-3.23,0.318,-0.371,0.2499888800090169,-2.29,0.324,-2.81,0.346,333540539.26666665,D_invalid,False
000821,ST京机,967,166,5.8,459.9,444734.4,14.3,24.1,-0.04,-0.52,0.428,-2.01,0.255,-0.411,0.2484526765100274,-1.69,0.364,-3.05,0.328,341647730.01666665,D_invalid,False
000886,海南高速,1246,169,7.4,499.2,622037.6,13.7,21.8,-0.04,-1.66,0.434,-3.34,0.302,-0.532,0.2321607563313179,-2.15,0.42,-1.71,0.361,488652176.31666666,D_invalid,False
000686,东北证券,1187,190,6.2,810.7,962336.2,19.6,26.1,-0.05,-0.47,0.476,-1.99,0.229,-0.565,0.2207655924875941,-0.12,0.512,0.77,0.573,694285299.4166666,D_invalid,False
000701,厦门信达,823,119,6.9,742.2,610796.6,18.5,25.1,0.05,-2.89,0.434,-3.93,0.308,-0.367,0.2164481808280233,-5.42,0.346,-3.28,0.331,402200553.1333333,D_invalid,False
000567,海德股份,594,102,5.8,452.4,268705.8,11.9,17.7,0.02,-1.14,0.382,-3.47,0.274,-0.565,0.1813318830760957,-1.89,0.362,-4.02,0.389,345137393.98333335,D_invalid,False
000546,金圆股份,533,99,5.4,734.8,391659.2,18.1,21.7,0.07,-0.67,0.393,-3.99,0.273,-0.357,0.1779245167019459,-0.03,0.5,3.47,0.571,401453238.21666664,D_invalid,False
000530,冰山冷热,1224,183,6.7,598.9,733030.0,16.8,27.2,-0.0,-1.97,0.355,-3.72,0.231,-0.608,0.152584810890286,-3.54,0.367,-0.86,0.491,522389474.55,D_invalid,False
000078,ST海王,515,104,5.0,1411.5,726921.6,32.1,23.9,0.06,-1.85,0.255,-6.08,0.248,-0.296,0.0820988055700052,-4.06,0.28,3.77,0.469,668121024.9166666,D_invalid,False
000505,京粮控股,537,76,7.1,699.3,375498.4,16.2,19.6,-0.1,-2.61,0.334,-5.68,0.198,-0.745,0.0161555299521909,-2.65,0.352,-2.39,0.304,360083690.05,D_invalid,False
