stock_code,n_buy_ops,n_days,avg_daily_ops,avg_amount_wan,total_buy_wan,avg_order_count,avg_time_span_min,avg_vwap_deviation_pct,avg_fwd_1d,win_1d,median_fwd_1d,n_fwd_1d,avg_signal_excess_fwd_1d,signal_excess_win_1d,avg_universe_excess_fwd_1d,universe_excess_win_1d,avg_entry_fwd_1d,entry_win_1d,avg_fwd_3d,win_3d,median_fwd_3d,n_fwd_3d,avg_signal_excess_fwd_3d,signal_excess_win_3d,avg_universe_excess_fwd_3d,universe_excess_win_3d,avg_entry_fwd_3d,entry_win_3d,avg_fwd_5d,win_5d,median_fwd_5d,n_fwd_5d,avg_signal_excess_fwd_5d,signal_excess_win_5d,avg_universe_excess_fwd_5d,universe_excess_win_5d,avg_entry_fwd_5d,entry_win_5d,avg_fwd_10d,win_10d,median_fwd_10d,n_fwd_10d,avg_signal_excess_fwd_10d,signal_excess_win_10d,avg_universe_excess_fwd_10d,universe_excess_win_10d,avg_entry_fwd_10d,entry_win_10d,avg_fwd_20d,win_20d,median_fwd_20d,n_fwd_20d,avg_signal_excess_fwd_20d,signal_excess_win_20d,avg_universe_excess_fwd_20d,universe_excess_win_20d,avg_entry_fwd_20d,entry_win_20d,stability,avg_universe_excess_fwd_5d_norm,universe_excess_win_5d_norm,n_buy_ops_norm,stability_norm,score
000833,2494,224,11.1,1038.9,2591106.8,28.2,27.0,-0.07,0.26,0.494,0.0,2482,0.25,0.465,0.05,0.437,107.89,1.0,0.88,0.513,0.26,2474,0.69,0.466,0.1,0.44,109.15,1.0,1.68,0.558,0.72,2453,1.21,0.51,0.43,0.435,110.8,1.0,2.8,0.535,2.06,2412,1.91,0.481,0.58,0.442,113.1,1.0,5.34,0.539,0.86,2293,3.57,0.452,1.99,0.453,118.36,1.0,0.051,0.6295938104448743,0.6353887399463808,0.30658404337722694,0.7425373134328358,0.578024686180593
000558,2193,220,10.0,728.5,1597600.3,19.9,26.8,-0.05,-0.02,0.487,0.0,2192,-0.02,0.46,-0.14,0.432,643.98,1.0,0.34,0.479,0.0,2190,0.19,0.472,-0.11,0.454,646.71,1.0,0.72,0.497,0.0,2181,0.25,0.48,-0.25,0.469,649.55,1.0,-0.03,0.509,0.19,2153,-1.42,0.436,-2.2,0.386,643.74,1.0,0.9,0.492,-0.66,2104,-2.13,0.427,-3.15,0.368,650.7,1.0,-0.023,0.5638297872340425,0.7265415549597856,0.25995352439969016,0.6735074626865671,0.5628358325301474
000425,3553,234,15.2,873.9,3105066.8,24.6,30.0,-0.03,0.17,0.514,0.11,3538,0.13,0.509,-0.05,0.474,4794.76,1.0,0.53,0.54,0.13,3506,0.22,0.526,-0.26,0.478,4812.39,1.0,0.85,0.529,0.39,3485,0.22,0.523,-0.56,0.439,4827.69,1.0,1.69,0.606,1.72,3402,0.55,0.536,-0.68,0.48,4867.96,1.0,3.41,0.618,4.19,3238,1.58,0.577,0.25,0.493,4949.84,1.0,-0.126,0.5338491295938104,0.6461126005361931,0.47064291247095275,0.5774253731343283,0.5592445518060054
000034,3737,229,16.3,2421.1,9047582.7,59.1,31.1,-0.06,0.02,0.484,-0.08,3726,-0.04,0.479,-0.22,0.435,222.88,1.0,0.51,0.511,0.12,3699,0.19,0.434,-0.26,0.389,224.46,1.0,0.75,0.529,0.3,3671,0.3,0.436,-0.37,0.407,225.24,1.0,1.78,0.518,0.44,3618,0.75,0.415,-0.32,0.391,228.53,1.0,2.57,0.486,-0.57,3486,0.52,0.378,-0.84,0.368,231.04,1.0,-0.048,0.5522243713733076,0.5603217158176944,0.499147947327653,0.650186567164179,0.5538345094765799
000559,2495,210,11.9,2228.3,5559725.1,48.6,27.7,-0.1,0.57,0.514,0.13,2481,0.45,0.449,0.2,0.423,4141.64,1.0,1.16,0.455,-0.27,2452,0.97,0.454,0.26,0.414,4166.62,1.0,1.84,0.494,-0.39,2418,1.44,0.436,0.41,0.404,4194.43,1.0,2.61,0.491,-0.27,2326,2.1,0.453,0.56,0.402,4226.67,1.0,4.63,0.536,1.17,2181,3.22,0.423,1.55,0.331,4310.74,1.0,0.041,0.6276595744680852,0.5522788203753353,0.3067389620449264,0.7332089552238806,0.551416163831208
000880,2924,231,12.7,957.5,2799728.0,26.2,25.3,-0.1,-0.08,0.442,-0.57,2921,-0.14,0.454,-0.28,0.442,341.66,1.0,0.52,0.439,-1.08,2916,0.32,0.42,-0.04,0.418,343.45,1.0,1.15,0.448,-0.99,2913,0.63,0.411,0.09,0.395,345.51,1.0,3.15,0.489,-0.18,2880,2.22,0.438,1.31,0.428,351.45,1.0,7.37,0.509,0.85,2781,5.53,0.523,4.36,0.479,363.51,1.0,0.008,0.5967117988394585,0.5281501340482575,0.3731990704879938,0.7024253731343283,0.5420121111612923
000021,3316,227,14.6,2645.0,8770763.8,62.8,30.5,-0.08,0.34,0.502,0.04,3301,0.2,0.468,-0.01,0.451,1554.57,1.0,0.74,0.502,0.14,3269,0.34,0.486,-0.26,0.423,1561.0,1.0,1.23,0.558,0.43,3235,0.48,0.506,-0.37,0.402,1569.07,1.0,1.63,0.512,0.25,3129,0.33,0.43,-0.84,0.333,1575.47,1.0,2.19,0.533,1.27,2981,-0.1,0.409,-1.52,0.369,1584.27,1.0,-0.059,0.5522243713733076,0.5469168900804291,0.43392718822618126,0.6399253731343283,0.5357427905321208
000776,3295,232,14.2,1975.0,6507642.7,47.7,31.5,-0.05,0.07,0.517,0.1,3284,-0.02,0.482,-0.23,0.441,542.02,1.0,0.34,0.527,0.33,3255,0.08,0.457,-0.42,0.401,543.76,1.0,0.82,0.585,0.8,3210,0.3,0.495,-0.43,0.412,546.71,1.0,2.05,0.625,1.33,3130,0.77,0.537,-0.37,0.416,554.47,1.0,3.87,0.668,3.71,2980,1.33,0.598,0.08,0.572,565.7,1.0,-0.114,0.5464216634429401,0.5737265415549598,0.43067389620449265,0.5886194029850746,0.53568334738307
000006,1641,195,8.4,798.7,1310721.4,21.5,24.0,-0.11,0.26,0.483,-0.18,1636,0.32,0.444,0.18,0.438,5090.66,1.0,1.03,0.442,-0.82,1622,0.92,0.441,0.53,0.401,5130.7,1.0,1.56,0.45,-0.79,1608,1.1,0.429,0.59,0.404,5158.44,1.0,3.19,0.431,-2.02,1600,1.88,0.356,0.7,0.338,5244.88,1.0,5.95,0.408,-3.32,1541,4.09,0.358,2.33,0.347,5389.34,1.0,0.058,0.6450676982591876,0.5522788203753353,0.17443841982958946,0.7490671641791045,0.533505125800104
000797,768,125,6.1,770.3,591565.3,17.7,23.8,-0.0,0.44,0.506,0.41,767,0.33,0.548,-0.21,0.555,628.15,1.0,1.18,0.557,0.53,747,1.08,0.535,-0.35,0.474,633.6,1.0,2.56,0.561,1.23,733,2.27,0.538,-0.02,0.457,643.56,1.0,5.67,0.601,4.44,674,5.26,0.681,1.62,0.513,665.32,1.0,7.83,0.71,9.91,525,7.63,0.724,5.14,0.699,682.2,1.0,-0.002,0.5860735009671181,0.6943699731903487,0.03919442292796282,0.6930970149253731,0.5198889784220817
