stock_code,n_buy_ops,n_days,avg_daily_ops,avg_amount_wan,total_buy_wan,avg_order_count,avg_time_span_min,avg_vwap_deviation_pct,avg_fwd_1d,win_1d,median_fwd_1d,n_fwd_1d,avg_excess_fwd_1d,std_excess_fwd_1d,excess_win_1d,avg_fwd_3d,win_3d,median_fwd_3d,n_fwd_3d,avg_excess_fwd_3d,std_excess_fwd_3d,excess_win_3d,avg_fwd_5d,win_5d,median_fwd_5d,n_fwd_5d,avg_excess_fwd_5d,std_excess_fwd_5d,excess_win_5d,avg_fwd_10d,win_10d,median_fwd_10d,n_fwd_10d,avg_excess_fwd_10d,std_excess_fwd_10d,excess_win_10d,avg_fwd_20d,win_20d,median_fwd_20d,n_fwd_20d,avg_excess_fwd_20d,std_excess_fwd_20d,excess_win_20d,stability,avg_excess_fwd_5d_norm,excess_win_5d_norm,n_buy_ops_norm,stability_norm,score
000887,3537,235,15.1,1794.2,6346249.1,46.8,31.7,-0.05,0.36,0.517,0.09,3527,0.01,2.64,0.478,1.26,0.576,1.07,3497,0.16,5.12,0.458,2.0,0.577,1.15,3464,0.12,7.3,0.423,3.68,0.583,2.92,3408,0.3,10.55,0.424,6.13,0.58,3.97,3251,0.09,15.96,0.411,0.016,0.37240356083086057,0.42704626334519574,0.6494077187619411,0.643507972665148,0.471307644354806
000859,1258,151,8.3,1592.8,2003765.9,34.6,25.4,0.2,0.34,0.498,0.0,1238,0.03,5.08,0.41,1.39,0.521,0.48,1193,0.29,8.78,0.454,2.52,0.575,1.33,1147,0.69,9.74,0.436,4.71,0.659,3.39,1080,1.07,10.51,0.479,6.45,0.606,4.58,912,-0.35,13.22,0.433,0.071,0.456973293768546,0.47330960854092535,0.21398547955674435,0.706150341685649,0.43819433014960985
000603,1791,194,9.2,843.3,1510313.7,23.9,24.9,-0.04,0.52,0.499,0.0,1774,0.06,3.01,0.47,1.56,0.53,0.57,1744,0.23,5.54,0.462,2.25,0.556,1.09,1708,0.03,6.63,0.443,4.9,0.625,3.35,1622,0.42,9.51,0.465,8.64,0.645,5.48,1446,0.38,14.38,0.431,0.005,0.35905044510385753,0.49822064056939513,0.3158196408100879,0.6309794988610478,0.4193482482604839
000600,1015,178,5.7,406.0,412105.0,12.0,25.2,-0.01,0.2,0.429,-0.24,1015,0.03,2.66,0.416,0.61,0.495,0.0,1007,0.04,5.5,0.402,1.65,0.586,1.28,998,0.27,7.31,0.449,2.13,0.565,1.25,992,-0.8,10.16,0.438,3.27,0.66,3.96,981,-2.74,12.19,0.429,0.037,0.39465875370919884,0.5195729537366549,0.16755827283148644,0.6674259681093394,0.4139896389819072
000797,768,125,6.1,770.3,591565.3,17.7,23.8,-0.0,0.44,0.506,0.41,767,-0.17,5.52,0.511,1.18,0.557,0.53,747,-0.27,8.77,0.44,2.56,0.561,1.23,733,0.15,9.82,0.434,5.67,0.601,4.44,674,0.73,10.38,0.49,7.83,0.71,9.91,525,-0.67,12.25,0.503,0.015,0.37685459940652816,0.4661921708185054,0.1203668322506687,0.642369020501139,0.3789097595084105
000833,2494,224,11.1,1038.9,2591106.8,28.2,27.0,-0.07,0.26,0.494,0.0,2482,-0.11,3.29,0.438,0.88,0.513,0.26,2474,-0.22,6.07,0.42,1.68,0.558,0.72,2453,-0.23,7.9,0.393,2.8,0.535,2.06,2412,-0.66,10.84,0.396,5.34,0.539,0.86,2293,-0.98,15.47,0.397,-0.029,0.32047477744807124,0.32028469750889693,0.45013374092472297,0.592255125284738,0.37352758094531596
000021,3316,227,14.6,2645.0,8770763.8,62.8,30.5,-0.08,0.34,0.502,0.04,3301,-0.15,2.23,0.414,0.74,0.502,0.14,3269,-0.49,4.02,0.413,1.23,0.558,0.43,3235,-0.87,5.25,0.392,1.63,0.512,0.25,3129,-1.99,7.67,0.285,2.19,0.533,1.27,2981,-4.26,12.06,0.281,-0.166,0.22551928783382788,0.3167259786476869,0.6071837982422621,0.4362186788154897,0.3502841362578386
000776,3295,232,14.2,1975.0,6507642.7,47.7,31.5,-0.05,0.07,0.517,0.1,3284,-0.29,1.56,0.403,0.34,0.527,0.33,3255,-0.65,2.36,0.382,0.82,0.585,0.8,3210,-0.92,3.11,0.379,2.05,0.625,1.33,3130,-1.76,4.8,0.35,3.87,0.668,3.71,2980,-3.12,7.39,0.369,-0.296,0.21810089020771514,0.27046263345195737,0.6031715705005731,0.2881548974943053,0.3178289499682185
000719,138,63,2.2,267.4,36894.6,9.1,20.3,0.1,-0.32,0.428,-0.24,138,-0.51,2.34,0.297,-0.31,0.529,0.11,138,-0.89,3.2,0.391,-0.17,0.623,0.67,138,-0.82,4.19,0.362,0.68,0.533,0.46,137,-1.04,7.68,0.394,2.38,0.63,2.83,135,-2.35,9.89,0.23,-0.196,0.23293768545994067,0.20996441281138792,0.0,0.4020501138952164,0.1963694094169143
000825,894,153,5.8,448.4,400842.3,12.3,26.8,-0.09,0.1,0.457,0.0,881,-0.41,2.27,0.422,0.37,0.528,0.26,852,-1.03,3.31,0.317,1.11,0.595,1.15,807,-1.24,4.74,0.362,2.39,0.575,1.57,668,-2.36,6.36,0.299,1.96,0.543,0.8,554,-6.28,7.58,0.182,-0.262,0.17062314540059348,0.20996441281138792,0.14444019870080244,0.32687927107061504,0.1928145488508758
000708,544,146,3.7,307.2,167118.2,10.1,25.5,-0.03,-0.02,0.527,0.1,543,-0.43,1.75,0.411,0.26,0.549,0.36,543,-1.0,2.78,0.309,0.57,0.615,0.36,540,-1.23,3.36,0.37,1.46,0.648,1.4,534,-2.17,4.78,0.285,3.24,0.705,2.95,498,-2.62,7.11,0.373,-0.366,0.17210682492581603,0.23843416370106765,0.07756973633931984,0.20842824601366747,0.17672975094987745
000783,2759,226,12.2,716.1,1975710.8,19.1,31.6,-0.08,-0.03,0.448,-0.13,2747,-0.39,1.4,0.379,0.11,0.508,0.13,2726,-0.98,2.37,0.335,0.49,0.575,0.66,2703,-1.57,2.86,0.303,1.11,0.628,1.37,2639,-3.21,4.11,0.214,1.95,0.685,2.76,2508,-5.64,6.45,0.173,-0.549,0.12166172106824927,0.0,0.5007642338555598,0.0,0.14881753519841168
000060,2103,230,9.1,515.7,1084570.9,14.5,30.8,-0.05,0.13,0.476,0.0,2079,-0.31,1.33,0.366,0.19,0.529,0.18,2050,-0.9,2.25,0.344,0.28,0.563,0.71,2017,-1.42,2.81,0.313,0.66,0.545,1.13,1918,-2.91,4.24,0.236,1.06,0.573,1.3,1764,-5.5,6.31,0.175,-0.505,0.14391691394658757,0.03558718861209968,0.3754298815437524,0.05011389521640095,0.14834028799265553
000007,155,49,3.2,310.9,48183.1,8.9,20.5,0.32,0.57,0.568,0.8,155,0.39,4.24,0.523,0.74,0.452,-0.65,155,-0.94,5.76,0.316,2.53,0.658,1.36,155,-1.7,8.53,0.355,3.84,0.632,1.67,155,-3.67,13.21,0.452,6.33,0.652,6.77,155,-18.55,27.15,0.31,-0.199,0.1023738872403561,0.18505338078291814,0.0032479938861291555,0.39863325740318906,0.13697849364856263
000429,221,97,2.3,247.9,54778.4,8.8,22.4,-0.0,0.14,0.584,0.22,221,-0.34,2.2,0.439,0.23,0.471,-0.16,221,-1.48,3.8,0.294,0.3,0.557,0.16,221,-2.39,4.93,0.308,0.96,0.564,0.82,220,-3.95,6.78,0.277,1.02,0.565,2.23,209,-6.17,8.41,0.191,-0.485,0.0,0.01779359430604984,0.015857852502865876,0.0728929384965832,0.015798942642046447
